Date,Open,High,Low,Close,Volume
2005-12-29,91200,93700,90300,92400,241398
2006-01-02,93400,94500,92700,93900,210926
2006-01-03,94400,94400,91900,92600,165484
2006-01-04,93000,93500,90000,91300,344492
2006-01-05,90600,91500,89900,90600,366957
2006-01-06,90600,92000,90600,91900,227040
2006-01-09,91200,92000,88900,89000,294881
2006-01-10,89000,90000,86600,87000,308023
2006-01-11,87000,87900,86500,87300,225251
2006-01-12,87000,88800,86400,87800,385684
2006-01-13,87500,90400,87500,90200,241351
2006-01-16,90500,90600,87900,88100,205689
2006-01-17,88700,88700,85100,85100,327127
2006-01-18,85100,86900,82800,83600,257116
2006-01-19,83000,84900,82500,84000,230911
2006-01-20,83200,85000,82000,82000,229299
2006-01-23,82300,84100,81800,82800,396802
2006-01-24,82000,83800,80200,82600,322032
2006-01-25,82600,84800,81300,81300,396442
2006-01-26,81800,82500,77100,78200,814553
2006-01-27,78100,81800,76500,81800,717295
2006-01-31,82300,83500,81800,83500,341600
2006-02-01,83700,86000,83000,83600,743304
2006-02-02,83700,84400,81900,83000,599934
2006-02-03,83000,83000,80300,82000,320621
2006-02-06,80700,85100,80600,83900,281995
2006-02-07,83900,84600,82900,82900,286232
2006-02-08,82900,83800,81300,82500,319143
2006-02-09,82500,83500,81000,83500,303360
2006-02-10,83000,84700,81600,84500,221570
2006-02-13,83300,84000,80600,84000,296375
2006-02-14,82100,84000,81200,84000,388729
2006-02-15,84000,84300,79500,80000,760338
2006-02-16,78800,79900,75900,76700,933448
2006-02-17,76700,77800,74400,75500,1198390
2006-02-20,75900,77900,75700,77300,543616
2006-02-21,77300,79100,77200,78100,405501
2006-02-22,78500,79700,77500,78100,303513
2006-02-23,79300,81100,78000,81100,353625
2006-02-24,80300,82500,80100,82000,180289
2006-02-27,81000,83100,81000,82700,180497
2006-02-28,82400,83000,81500,81900,99049
2006-03-02,82300,83200,81000,81000,164251
2006-03-03,82500,82500,76700,77300,365354
2006-03-06,79000,81300,77500,80700,218946
2006-03-07,81700,81700,77700,78900,207133
2006-03-08,77400,78900,77300,77500,457019
2006-03-09,78500,81000,78000,79300,325193
2006-03-10,80000,80800,79300,80000,193201
2006-03-13,81200,81800,80800,81200,172299
2006-03-14,81200,82300,79900,80200,219650
2006-03-15,80700,82100,80700,80900,166131
2006-03-16,82000,82100,80100,80500,228811
2006-03-17,80500,81500,80200,80700,214431
2006-03-20,81600,84000,81400,84000,385200
2006-03-21,84800,85600,84000,84400,326611
2006-03-22,84400,84400,81700,82500,210713
2006-03-23,82500,82900,81500,81800,131678
2006-03-24,83800,83800,81400,83600,182766
2006-03-27,83700,83800,81600,83300,144814
2006-03-28,84000,84000,82300,83900,157491
2006-03-29,83700,85000,83000,85000,171981
2006-03-30,84600,86000,83900,86000,190673
2006-03-31,85600,86600,84800,86000,142727
2006-04-03,86000,86900,85000,85900,245412
2006-04-04,85400,87000,85400,86700,368239
2006-04-05,86700,87700,86200,86500,252676
